"Tomas Satoransky",2870813
"Noah Vonleh",2751360
"Frank Kaminsky",2730000
"Dennis Schroder",2708582
"Jakob Poeltl",2703960
"Aaron Brooks",2700000
"Elfrid Payton",2613600
"Justise Winslow",2593440
"Thon Maker",2568600
"Richard Jefferson",2500000
"Randy Foye",2500000
"Malcolm Delaney",2500000
"Doug McDermott",2483040
"Myles Turner",2463840
"Domantas Sabonis",2440200
"Shelvin Mack",2433334
"Tony Snell",2368327
"Gorgui Dieng",2348783
"Trey Lyles",2340600
"Mason Plumlee",2328530
"Dario Saric",2318280
"Tim Hardaway",2281605
"Reggie Bullock",2255644
"Joe Ingles",2250000
"Zach LaVine",2240880
"Devin Booker",2223600
"Luc Mbah a Moute",2203000
"Georgios Papagiannis",2202240
"Andre Roberson",2183072
"T.J. Warren",2128920
"Rudy Gobert",2121288
"Cameron Payne",2112480
"Denzel Valentine",2092200
"Tim Frazier",2090000
"Adreian Payne",2022240
"Juan Hernangomez",1987440
"Lucas Nogueira",1921320
"Jusuf Nurkic",1921320
"Terry Rozier",1906440
"James Young",1825200
"Rashad Vaughn",1811040
"Kevin Seraphin",1800000
"Wade Baldwin",1793760
"Quincy Acy",1790902
"Tyler Ennis",1733880
"Sam Dekker",1720560
"Joffrey Lauvergne",1709720
"Henry Ellenson",1704120
"Gary Harris",1655880
"Jerian Grant",1643040
"Malik Beasley",1627320
"Bruno Caboclo",1589640
"Delon Wright",1577280
"Caris LeVert",1562280
"Raymond Felton",1551659
"Metta World Peace",1551659
"Jason Terry",1551659
"James Jones",1551659
"David West",1551659
"David Lee",1551659
"Brandon Bass",1551659
"Beno Udrih",1551659
"Justin Anderson",1514160
"DeAndre' Bembry",1499760
"Bobby Portis",1453680
"Demetrius Jackson",1450000
"Malachi Richardson",1439880
"Sasha Vujacic",1410598
"Gerald Green",1410598
"Rodney Hood",1406520
"Michael Beasley",1403611
"Marreese Speights",1403611
"JaVale McGee",1403611
"Rondae Hollis-Jefferson",1395600
"Willy Hernangomez",1375000
"Deyonta Davis",1369229
"Nikola Jokic",1358500
"Shabazz Napier",1350120
"Tyus Jones",1339680
"Timothe Luwawu-Cabarrot",1326960
"Ty Lawson",1315448
"Alan Anderson",1315448
"Clint Capela",1296240
"Jarell Martin",1286160
"Brice Johnson",1273920
"Luke Babbitt",1227000
"Jordan Mickey",1223653
"Larry Nance Jr.",1207680
"Brandon Jennings",1200000
"Pascal Siakam",1196040
"Kyle Anderson",1192080
"Josh Huestis",1191480
"Chris McCullough",1191480
"Skal Labissiere",1188840
"Kevon Looney",1182840
"Dejounte Murray",1180080
"Damian Jones",1171560
"Isaiah Whitehead",1074145
"Rakeem Christmas",1052342
"Joe Young",1052342
"Thomas Robinson",1050961
"Brian Roberts",1050961
"Ivica Zubac",1034956
"Richaun Holmes",1025831
"Willie Reed",1015696
"Robert Covington",1015696
"Mike Muscala",1015696
"Justin Holiday",1015696
"Jeff Withey",1015696
"Isaiah Canaan",1015696
"Ian Clark",1015696
"DeAndre Liggins",1015696
"Sean Kilpatrick",980431
"Joe Harris",980431
"Jerami Grant",980431
"JaMychal Green",980431
"James Michael McAdoo",980431
"Damjan Rudez",980431
"Stephen Zimmerman",950000
"Andrew Harrison",945000
"Raul Neto",937800
"Malcolm Brogdon",925000
"Tyler Ulis",918369
"T.J. McConnell",874636
"Salah Mejri",874636
"Pat Connaughton",874636
"Norman Powell",874636
"Josh Richardson",874636
"Jonathon Simmons",874636
"Cristiano Felicio",874636
"Christian Wood",874636
"Alan Williams",874636
"Darrun Hilliard",874060
"Paul Zipser",750000
"Spencer Dinwiddie",726672
"Bobby Brown",680534
"Michael Gbinije",650000
"Georges Niang",650000
"A.J. Hammons",650000
"Donatas Motiejunas",576724
"Treveon Graham",543471
"Tim Quarterman",543471
"Sheldon McClellan",543471
"Semaj Christon",543471
"Ron Baker",543471
"Rodney McGruder",543471
"Patrick McCaw",543471
"Nicolas Brussino",543471
"Maurice Ndour",543471
"Marshall Plumlee",543471
"Kyle Wiltjer",543471
"Kay Felder",543471
"Fred VanVleet",543471
"Dorian Finney-Smith",543471
"Diamond Stone",543471
"Derrick Jones",543471
"Davis Bertans",543471
"Daniel Ochefu",543471
"Chinanu Onuaku",543471
"Cheick Diallo",543471
"Bryn Forbes",543471
"Ryan Kelly",418228
"Jose Calderon",392478
"Matt Barnes",383351
"Ronnie Price",282595
"Derrick Williams",268029
"Deron Williams",259626
"Isaiah Taylor",255000
"Norris Cole",247991
"Okaro White",210995
"Yogi Ferrell",207798
